Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
windshield replace,Performance Max,None,Campaign #1,1,1,100.00%,USD,35.98,35.98,Performance Max,100.00%,1.00,35.98
windshield seal repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair sterling co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
bear creek auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
autoglass windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
cheapest windshield replacement near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
cheapest windshield replacement colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair shop near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
service auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
gt tools by glass technology inc,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
anders auto glass fort collins,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
portland glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield replacement,Performance Max,None,Campaign #1,0,7,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
24 hour emergency glass repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
precise auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair keene nh,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield rock chip repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair lakewood co,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair aurora,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a better windshield,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair cheyenne,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement loveland,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
absolute auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield fort collins,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
grand auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair greeley,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
used auto glass near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair,Performance Max,None,Campaign #1,0,8,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield repair service,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
driver side window replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement canon city,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair denver,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement greeley,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
driver window replacement,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
satellite autoglass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
precision auto glass denver,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
anchor auto glass loveland,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass mobile,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
santa fe windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
honda crv 2017 windshield replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
skyline auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a+ auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
soco auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield chip repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield dealer,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
como reparar el parabrisas estrellado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
freightliner cascadia windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
native auto glass greeley colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
handy glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
super glass windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair aurora co,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
colorado windshield company,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
fuyao windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
fort collins auto glass repair,Performance Max,None,Campaign #1,1,2,50.00%,USD,1.28,1.28,Performance Max,0.00%,0.00,0.00
auto glass replacement near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair loveland,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair cheyenne wy,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tavos auto glass denver colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement fountain co,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement frisco co,Performance Max,None,Campaign #1,0,7,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
master auto glass,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass cincinnati,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass cheyenne wy,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safe lit,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chris's glass evergreen,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass company colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement cheyenne wy,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chipmedic autoglass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
lakewood windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement littleton co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement arvada,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
crack windshield repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile car window replacement,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
j&k auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
back window replacement,Performance Max,None,Campaign #1,1,2,50.00%,USD,30.58,30.58,Performance Max,100.00%,1.00,30.58
glass masters cheyenne,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
driven auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car windshield replacement,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
deco chip repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement thornton,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
jiffy auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safelight fort collins,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
bright auto glass,Performance Max,None,Campaign #1,0,7,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair glenwood springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement parker co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
snow auto glass,Performance Max,None,Campaign #1,1,7,14.29%,USD,18.97,18.97,Performance Max,0.00%,0.00,0.00
top notch auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
denver windshield replacement,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
cornerstone auto glass conifer,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2006 toyota sienna windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshields near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair near me prices,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement grand junction,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip repair windshield,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
colorado windshield replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a wiser auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safe auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
insight auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass usa,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield express,Performance Max,None,Campaign #1,0,6,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now fillmore,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2024 kia forte windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
who fixes cracks in windshields,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement companies,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
polaris auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
kat auto glass colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
all around glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair parker co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glue for windshield crack,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
budget glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
same day auto glass replacement near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
jiffy windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield chip repair near me,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement colorado springs,Performance Max,None,Campaign #1,1,4,25.00%,USD,6.78,6.78,Performance Max,0.00%,0.00,0.00
auto city glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
reliable auto glass near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
best auto glass repair near me,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
decker auto glass cheyenne,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tavos auto glass,Performance Max,None,Campaign #1,2,49,4.08%,USD,17.46,34.91,Performance Max,50.00%,1.00,34.91
windshield repair company near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
r and r windshield repair,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass denver,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield crack repair,Performance Max,None,Campaign #1,1,2,50.00%,USD,5.60,5.60,Performance Max,0.00%,0.00,0.00
auto glass express,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield chip repair near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2012 hyundai sonata windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
shine auto glass,Performance Max,None,Campaign #1,0,8,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass,Performance Max,None,Campaign #1,0,12,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
best auto glass llc,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement brighton co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
how much is a new windshield,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
morey's glass windsor colorado,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now,Performance Max,None,Campaign #1,0,10,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshields,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair near me,Performance Max,None,Campaign #1,1,5,20.00%,USD,5.33,5.33,Performance Max,0.00%,0.00,0.00
anders auto glass,Performance Max,None,Campaign #1,0,19,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
denver auto glass replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
denver car window replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
on point auto glass,Performance Max,None,Campaign #1,1,2,50.00%,USD,4.57,4.57,Performance Max,0.00%,0.00,0.00
windshield repair aurora colorado,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
cheapest windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass windshield,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a and a glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mygrant auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass express commerce city,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair places,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
how much does a car window cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
primos autoglass greeley,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass shop denver,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
westminster windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield glass repair,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
ford mustang windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
hd auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a+ auto glass near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
slp auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
cheapest mobile windshield replacement near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield chip repair cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair fort collins,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement loveland,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip chick windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
star auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair loveland,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
precision auto glass colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair places near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield chip repair lakewood co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tesla model y windshield replacement cost,Performance Max,None,Campaign #1,1,1,100.00%,USD,8.57,8.57,Performance Max,0.00%,0.00,0.00
carefree auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
autoglass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement in greeley colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
best windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
van go auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
the windshield guys,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rock repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
fort collins windshield repair,Performance Max,None,Campaign #1,1,1,100.00%,USD,4.71,4.71,Performance Max,0.00%,0.00,0.00
crystal clear auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass pro,Performance Max,None,Campaign #1,1,4,25.00%,USD,8.58,8.58,Performance Max,0.00%,0.00,0.00
windshield companies near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
range rover rear window,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield removal,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tavos glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair shops near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rock chip repair,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a car window,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
right choice auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
where to get a windshield replaced,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
1537 w alameda ave denver co,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a+ glass salida,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair rifle co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair colorado springs co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement near me,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield shops near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
standard glass fort morgan,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshields in colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
Total: Search terms,,,,26,"1,064",2.44%,USD,9.28,241.17,,11.54%,3.00,80.39
Total: Other search terms,,,,27,664,4.07%,USD,8.31,224.45,,7.41%,2.00,112.22
Total: Account,,,,53,"1,728",3.07%,USD,8.79,465.62,,9.43%,5.00,93.12
Total: Performance Max,,,,53,"1,728",3.07%,USD,8.79,465.62,Performance Max,9.43%,5.00,93.12
